Designator,Mid X,Mid Y,Rotation,Layer
BREAKOUTBOARD1,131.4238,-113.3017,0.0,top
C2,101.3046,-109.2556,90.0,top
C3,97.2914,-125.1052,0.0,top
C4,92.313,-125.3084,0.0,top
C5,101.0506,-114.1832,270.0,top
C6,114.0228,-111.2622,90.0,top
D1,94.091,-130.2868,180.0,top
D2,85.5058,-123.8352,270.0,top
D3,93.7768,-145.538,180.0,top
D4,93.8276,-159.4104,180.0,top
IC1,93.6846,-113.993,0.0,top
IC2,108.5182,-110.2716,180.0,top
J1,107.4505,-141.6204,0.0,top
J2,107.5469,-155.4988,0.0,top
J3,143.8956,-68.869,270.0,top
J4,143.8956,-88.2746,270.0,top
J5,123.6192,-156.1592,0.0,top
J6,132.6896,-156.1568,0.0,top
J7,141.7828,-156.1568,0.0,top
LED1,105.8967,-121.0666,90.0,top
LED2,110.5195,-121.3714,90.0,top
Q1,89.154,-138.6292,0.0,top
Q2,86.9188,-147.4176,0.0,top
Q3,89.2048,-152.7048,0.0,top
Q4,86.9696,-161.5948,0.0,top
R1,106.4555,-116.4946,0.0,top
R10,84.7344,-157.5308,180.0,top
R2,110.7227,-116.5962,0.0,top
R3,88.5087,-130.4392,180.0,top
R4,84.9489,-130.2868,180.0,top
R5,80.772,-137.3592,0.0,top
R6,88.3393,-143.4044,0.0,top
R7,84.7325,-143.3536,180.0,top
R8,81.1257,-151.384,0.0,top
R9,88.4428,-157.5308,0.0,top
U1,92.4052,-76.9362,0.0,top
U2,121.666,-65.3288,270.0,top
U4,123.0884,-93.726,270.0,top
